,decade,artist,song,track id,release date,song length (ms),explicit,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time signature,valence
49,1990-1999,Blur,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,1997-02-10,121160,False,79,0.00178,0.674,0.789,0.0071,8,0.0754,-6.903,1,0.0676,129.804,4,0.918
0,2000-2009,Band Aid,Do They Know It's Christmas? - 1984 Version,0247StOpd3AkeBQzANX4Zf,2004-01-01,222533,False,89,0.164,0.599,0.642,3.33e-05,0,0.0992,-6.936,1,0.0363,115.412,4,0.349
1,2000-2009,Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,2002-05-26,290320,True,88,0.00286,0.908,0.669,0.0,7,0.237,-2.827,1,0.0738,112.238,4,0.662
2,2000-2009,Eminem,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,2000-05-23,284200,True,88,0.0302,0.949,0.661,0.0,5,0.0454,-4.244,0,0.0572,104.504,4,0.76
3,2000-2009,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,2000-07-10,266773,False,88,0.00239,0.429,0.661,0.000121,11,0.234,-7.227,1,0.0281,173.372,4,0.285
4,2000-2009,Britney Spears,My Only Wish (This Year),0YWUHZPJVg4iujddsJDwhM,2000-11-14,255400,False,87,0.169,0.669,0.843,0.0,0,0.195,-3.766,1,0.0268,147.08,4,0.702
5,2000-2009,Chris Rea,Driving Home for Christmas,3Z3QhZAZpqwZa1phsbQ3JZ,2007-11-10,240213,False,87,0.328,0.497,0.661,0.000317,9,0.211,-9.047,1,0.0361,180.225,4,0.894
6,2000-2009,Eminem,'Till I Collapse,4xkOaSrkexMciUUogZKVTS,2002-05-26,297786,True,87,0.0622,0.548,0.847,0.0,1,0.0816,-3.237,1,0.186,171.447,4,0.1
7,2000-2009,José Feliciano,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,2002-09-24,182066,False,87,0.55,0.513,0.831,0.0,2,0.336,-9.004,1,0.0383,148.837,4,0.963
8,2000-2009,Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq,2000-10-24,216880,False,86,0.00958,0.556,0.864,0.0,3,0.209,-5.87,0,0.0584,105.143,4,0.4
9,2000-2009,Coldplay,The Scientist,75JFxkI2RXiU7L9VXzMkle,2002-08-08,309600,False,86,0.731,0.557,0.442,1.46e-05,5,0.11,-7.224,1,0.0243,146.277,4,0.213
10,2000-2009,The White Stripes,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,2003-04-01,232106,False,86,0.0039,0.743,0.446,0.118,4,0.337,-7.807,0,0.0683,123.596,4,0.278
11,2000-2009,The Killers,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,2004,222973,False,86,0.00121,0.352,0.911,0.0,1,0.0995,-5.23,1,0.0747,148.033,4,0.236
12,2000-2009,Wham!,Last Christmas - Remastered,6wn2nmFn3wDuiMldRiuRuL,2006-11-11,267160,False,86,0.262,0.757,0.618,0.0,11,0.221,-7.964,0,0.0282,106.856,4,0.861
13,2000-2009,My Chemical Romance,Teenagers,7j31rVgGX9Q2blT92VBEA0,2006-10-23,161920,False,85,0.0506,0.463,0.857,0.0,4,0.184,-3.063,1,0.0632,111.647,4,0.856
14,2000-2009,Gorillaz,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,2005-05-23,222640,False,85,0.00836,0.818,0.705,0.00233,6,0.613,-6.679,1,0.177,138.559,4,0.772
15,2000-2009,Nelly Furtado,Promiscuous,2gam98EZKrF9XuOkU13ApN,2006-01-01,242293,False,85,0.0569,0.808,0.97,6.13e-05,10,0.154,-6.098,0,0.0506,114.328,4,0.868
16,2000-2009,Shakira,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,2005-11-28,218093,False,85,0.284,0.778,0.824,0.0,10,0.405,-5.892,0,0.0707,100.024,4,0.758
17,2000-2009,Eminem,Stan,3UmaczJpikHgJFyBTAJVoz,2000-05-23,404106,True,84,0.0371,0.78,0.768,2.34e-06,6,0.518,-4.325,0,0.238,80.063,4,0.507
18,2000-2009,Usher,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,2004-03-23,250373,False,84,0.0183,0.894,0.791,0.0,2,0.0388,-4.699,1,0.112,105.018,4,0.583
19,2000-2009,Coldplay,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,2005-06-07,295533,False,84,0.164,0.209,0.417,0.00196,3,0.113,-8.74,1,0.0338,138.178,4,0.124
